Names,Representative Number,newnameIdx,itemcategorycode,itemcategoryname,itemcode,itemname,kindcode,kindname,retail_unit,retail_unitsize,productrankcode
마늘바게트,2926,,,,,,,,,,
마늘소스,2428,,,,,,,,,,
마늘오일,2000,,,,,,,,,,
마늘잎,2978,,,,,,,,,,
마늘장아찌,1264,,,,,,,,,,
마늘잼,2973,,,,,,,,,,
마늘쫑,16,,,,,,,,,,
마늘청,2975,,,,,,,,,,
마늘크림,2974,,,,,,,,,,
마늘파우더,3442,,,,,,,,,,
마늘햄,1541,,,,,,,,,,
마늘후레이크,2188,,,,,,,,,,
마라소스,1098,,,,,,,,,,
마라탕소스,2253,,,,,,,,,,
마른오징어,263,189,600,수산물,640,건오징어,00,건오징어,마리,10,05
마살라,1976,,,,,,,,,,
마스카포네 치즈,214,,,,,,,,,,
마시멜로,1061,,,,,,,,,,
마요네즈,228,,,,,,,,,,
마카다미아,264,,,,,,,,,,
마카로니,284,,,,,,,,,,
마카롱,1463,,,,,,,,,,
마카롱믹스,1466,,,,,,,,,,
마키베리파우더,3128,,,,,,,,,,
막걸리,285,,,,,,,,,,
막국수,2450,,,,,,,,,,
막대과자,1987,,,,,,,,,,
만가닥버섯,286,,,,,,,,,,
만능양념장,1780,,,,,,,,,,
만두,983,,,,,,,,,,
만두소,1905,,,,,,,,,,
만두피,287,,,,,,,,,,
말린허브,2318,,,,,,,,,,
맛간장,862,,,,,,,,,,
맛밤,2574,,,,,,,,,,
맛살,290,,,,,,,,,,
맛소금,292,,,,,,,,,,
맛술,293,,,,,,,,,,
망고,134,154,400,과일류,428,망고,00,수입,개,1,04
망고스틴,176,,,,,,,,,,
망고주스,2559,,,,,,,,,,
망고퓨레,297,,,,,,,,,,
매생이,92,,,,,,,,,,
매쉬드포테이토,2685,,,,,,,,,,
매실,135,,,,,,,,,,
매실액,852,,,,,,,,,,
매실장아찌,1110,,,,,,,,,,
매실주,299,,,,,,,,,,
매실청,947,,,,,,,,,,
매운갈비양념,1464,,,,,,,,,,
매운고추,2935,57,200,채소류,242,풋고추,03,청양고추,g,100,04
매운소스,2009,,,,,,,,,,
맥문동,3470,,,,,,,,,,
맥주,307,,,,,,,,,,
머랭,2837,,,,,,,,,,
머랭쿠키,2839,,,,,,,,,,
머위,314,,,,,,,,,,
머위나물,313,,,,,,,,,,
머핀,1003,,,,,,,,,,
머핀믹스,1368,,,,,,,,,,
먹태,2254,188,600,수산물,639,북어,02,먹태,[],[],05
멍게,316,,,,,,,,,,
멍게젓,2641,,,,,,,,,,
멍게젓갈,1515,,,,,,,,,,
메로,978,,,,,,,,,,
메로나,2885,,,,,,,,,,
메론,137,86,200,채소류,257,멜론,00,멜론,개,1,04
메밀,845,13,100,식량작물,144,메밀,01,메밀(수입),[],[],05
메밀가루,317,13,100,식량작물,144,메밀,01,메밀(수입),[],[],05
메밀면,358,,,,,,,,,,
메밀묵,319,,,,,,,,,,
메이플시럽,322,,,,,,,,,,
메주,405,,,,,,,,,,
메주가루,1454,,,,,,,,,,
메추리알,221,,,,,,,,,,
멥쌀,334,,,,,,,,,,
면,1118,,,,,,,,,,
멸치,323,186,600,수산물,638,건멸치,00,건멸치,g,100,27
멸치가루,1006,186,600,수산물,638,건멸치,00,건멸치,g,100,27
멸치볶음,1208,,,,,,,,,,
멸치액젓,337,,,,,,,,,,
멸치육수,344,186,600,수산물,638,건멸치,00,건멸치,g,100,27
멸치젓갈,1395,,,,,,,,,,
명란,326,,,,,,,,,,
명엽채,348,,,,,,,,,,
명이나물,342,,,,,,,,,,
명태,68,175,600,수산물,615,명태,01,생선,마리,1,05
명태포,355,175,600,수산물,615,명태,01,생선,마리,1,05
모과,138,,,,,,,,,,
모과청,1683,,,,,,,,,,
모닝빵,356,,,,,,,,,,
모둠전,1624,,,,,,,,,,
모자반,2314,,,,,,,,,,
모짜렐라치즈,211,,,,,,,,,,
목이버섯,56,,,,,,,,,,
무,18,41,200,채소류,231,무,01,봄,개,1,04
무김치,3483,,,,,,,,,,
무말랭이,886,,,,,,,,,,
무생채,1160,,,,,,,,,,
무순,343,,,,,,,,,,
무슈구슈,362,,,,,,,,,,
무장아찌,1250,,,,,,,,,,
무즙,1124,,,,,,,,,,
무청,986,,,,,,,,,,
무초절임,3451,,,,,,,,,,
무화과,139,,,,,,,,,,
묵가루,1187,,,,,,,,,,
묵은지,932,,,,,,,,,,
문어,76,,,,,,,,,,
물,1005,,,,,,,,,,
물가자미,3417,,,,,,,,,,
물김치,3264,,,,,,,,,,
물만두,1481,,,,,,,,,,
물메기,367,,,,,,,,,,
물엿,345,,,,,,,,,,
미강,3505,,,,,,,,,,
미강가루,3030,,,,,,,,,,
미꾸라지,372,,,,,,,,,,
미나리,19,81,200,채소류,252,미나리,00,미나리,g,100,04
미나리잎,2359,,,,,,,,,,
미나리효소,2606,,,,,,,,,,
미더덕,88,,,,,,,,,,
미림,347,,,,,,,,,,
미숫가루,368,,,,,,,,,,
미역,90,192,600,수산물,642,건미역,00,건미역,g,100,04
미역국,2388,,,,,,,,,,
미역귀,379,,,,,,,,,,
미역누들,2507,,,,,,,,,,
미역줄기,3057,,,,,,,,,,
미트볼,1084,,,,,,,,,,
미트소스,1962,,,,,,,,,,
믹스가루,1929,,,,,,,,,,
민들레,1848,,,,,,,,,,
민물장어,2215,,,,,,,,,,
민어,349,,,,,,,,,,
민트,385,,,,,,,,,,
밀,106,,,,,,,,,,
밀가루,234,,,,,,,,,,
밀가루 강력분,373,,,,,,,,,,
밀가루 중력분,350,,,,,,,,,,
밀싹,388,,,,,,,,,,
밀키스,2138,,,,,,,,,,
밀키트,3016,,,,,,,,,,
바게트빵,390,,,,,,,,,,
바나나,140,138,400,과일류,418,바나나,02,수입,g,100,04
바나나엑기스,3067,,,,,,,,,,
바나나우유,2817,,,,,,,,,,
바닐라빈,894,,,,,,,,,,
바닐라시럽,3277,,,,,,,,,,
바닐라에센스,392,,,,,,,,,,
바닐라오일,393,,,,,,,,,,
바닐라익스트랙,893,,,,,,,,,,
바닐라파우더,1185,,,,,,,,,,
바베큐소스,1073,,,,,,,,,,
바지락,83,,,,,,,,,,
바질,371,,,,,,,,,,
바질가루,2088,,,,,,,,,,
바질시드,1771,,,,,,,,,,
바질오일,1213,,,,,,,,,,
바질페스토,903,,,,,,,,,,
박,1844,,,,,,,,,,
박나물,2863,,,,,,,,,,
박대,1189,,,,,,,,,,
박력분,351,,,,,,,,,,
박카스,3641,,,,,,,,,,
발사믹소스,1022,,,,,,,,,,
발사믹식초,397,,,,,,,,,,
발효액,2581,,,,,,,,,,
발효종,2328,,,,,,,,,,
밤,186,,,,,,,,,,
밤가루,2903,,,,,,,,,,
밤호박,965,,,,,,,,,,
밥,424,,,,,,,,,,
방아잎,399,,,,,,,,,,
방어,2260,,,,,,,,,,
방울토마토,375,147,200,채소류,422,방울토마토,01,방울토마토,kg,1,04
방풍나물,400,,,,,,,,,,
배,141,117,400,과일류,412,배,01,신고,개,10,04
배음료,1265,,,,,,,,,,
배즙,856,,,,,,,,,,
배추,31,22,200,채소류,211,배추,01,봄,포기,1,04
배추김치,402,,,,,,,,,,
백김치,3218,,,,,,,,,,
백년초,2152,,,,,,,,,,
백련초,403,,,,,,,,,,
백명란,1267,,,,,,,,,,
백설기,2608,,,,,,,,,,
백설바닐라케익믹스,1566,,,,,,,,,,
백앙금,1432,,,,,,,,,,
백합,84,,,,,,,,,,
버섯,581,107,300,특용작물,315,느타리버섯,00,느타리버섯,g,100,04
버섯가루,1141,107,300,특용작물,315,느타리버섯,00,느타리버섯,g,100,04
버터,197,,,,,,,,,,
버터밀크,1254,,,,,,,,,,
번데기통조림,408,,,,,,,,,,
베리믹스,3129,,,,,,,,,,
베샤멜소스,2529,,,,,,,,,,
베이글,409,,,,,,,,,,
베이비,2689,,,,,,,,,,
베이컨,410,,,,,,,,,,
베이크빈,411,,,,,,,,,,
베이킹소다,949,,,,,,,,,,
베이킹파우더,377,,,,,,,,,,
베지프랑크,2645,,,,,,,,,,
베트남고추,613,,,,,,,,,,
병아리콩,112,,,,,,,,,,
병어,69,,,,,,,,,,
보드카,412,,,,,,,,,,
보리,97,210,100,식량작물,162,보리,01,보리,g,800,07
보리가루,882,210,100,식량작물,162,보리,01,보리,g,800,07
보리밥,1205,,,,,,,,,,
보리새우,414,,,,,,,,,,
보리수,181,,,,,,,,,,
보리차,1790,,,,,,,,,,
보리튀밥,3162,,,,,,,,,,
보말,2064,,,,,,,,,,
보크라이스,2870,,,,,,,,,,
복분자,142,,,,,,,,,,
복분자가루,2079,,,,,,,,,,
복숭아,143,121,400,과일류,413,복숭아,01,백도,개,10,04
복숭아청,1686,,,,,,,,,,
복숭아통조림,2602,,,,,,,,,,
복어,2377,,,,,,,,,,
볶음밥,2067,,,,,,,,,,
볶음우동,1819,,,,,,,,,,
볼로냐소스,3150,,,,,,,,,,
봄나물,1546,,,,,,,,,,
봄동,421,,,,,,,,,,
봉골레소스,1969,,,,,,,,,,
부대찌개양념,2348,,,,,,,,,,
부지깽이,889,,,,,,,,,,
부추,29,83,200,채소류,254,부추,00,부추,kg,1,04
부추김치,3366,,,,,,,,,,
